"Source:","D:\Drive\INSA 4A AE\I4AEIL11 - Programmation Orientée Objets\LE PROJET\PCB MAITRE\MAIN\MAIN.kicad_sch"
"Date:","22/11/2023 21:38:28"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","27"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"J1, J2","2","Conn_01x16_Pin","Conn_01x16_Pin","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","Generic connector, single row, 01x16, script generated","",""
"J3, J4","2","Conn_01x10_Pin","Conn_01x10_Pin","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","Generic connector, single row, 01x10, script generated","",""
"J5","1","BP 2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J6","1","BP 1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J7","1","LED PIN","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J8","1","SEC ALIM LED","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J9","1","151-7620E-E","151-7620E-E","151-7620E-E:1517620EE","DC Power Connectors","",""
"J10","1","INTAB MCP23017 1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J11","1","INTAB MCP23017 2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J12","1","BP 3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"R1, R2, R3, R4, R5, R6, R7, R11, R12, R13","10","10k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"S1, S2","2","CFS-0302TB","CFS-0302TB","CFS-0302TB:CFS0302TB","Dip Switch SPST 3 Position Surface Mount Slide (Standard) Actuator 100mA 6VDC","",""
"U1","1","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D","","",""
"U2","1","MCP23017_SS 1","MCP23017_SS","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","16-bit I/O expander, I2C, interrupts, w pull-ups, SSOP-28","",""
"U3","1","MCP23017_SS 2","MCP23017_SS","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","16-bit I/O expander, I2C, interrupts, w pull-ups, SSOP-28","",""
